과목(배점),구 분,인문계열,자연계열
,공통,,
,선택,,
,공통,,
,공통,,
,선택,"확률과 통계, 미적분, 기하 중 택1",
,공통,,
,선택,"사회, 과학 중 구분 없이
2과목 자유 선택",
