"등급
종목",,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,불합격
"오래달리
기","1,500m
(男)",,"5’30”
이내","5’31”
~
5’39”","5’40”
~
5’48”","5’49”
~
5’56”","5’57”
~
6’04”","6’05”
~
6’12”","6’13”
~
6’20”","6’21”
~
6’28”","6’29”
~
6’36”","6’37”
~
6’44”","6’45”
~
6’52”","6’53”
~
7’00”","7’01”
~
7’08”","7’09”
~
7’16”","7’17”
~
7’31”",
,"1,200m
(女)",,"5’40”
이내","5’41”
~
5’48”","5’49”
~
5’56”","5’57”
~
6’04”","6’05”
~
6’12”","6’13”
~
6’20”","6’21”
~
6’28”","6’29”
~
6’35”","6’36”
~
6’42”","6’43”
~
6’49”","6’50”
~
6’56”","6’57”
~
7’03”","7’04”
~
7’10”","7’11”
~
7’17”","7’18”
~
7’29”",
배 점,,,65.0,62.5,60.0,57.5,55.0,53.0,51.0,49.0,47.0,45.0,42.5,40.0,37.5,35.0,32.5,
"윗몸일으키기
(2분)",,男,"80회
이상","79
~ 76","75
~ 72","71
~ 68","67
~ 64","63
~ 60","59
~ 57","56
~ 54","53
~ 51","50
~ 48","47
~ 45","44
~ 42","41
~ 39","38
~ 36","35
이하",
,,女,"70회
이상","69
~ 66","65
~ 62","61
~ 58","57
~ 54","53
~ 50","49
~ 46","45
~ 42","41
~ 38","37
~ 34","33
~ 30","29
~ 27","26
~ 24","23
~ 21","20
이하",
배 점,,,45.0,43.0,41.5,40.0,38.5,37.0,35.5,34.0,32.5,31.0,29.5,28.0,26.5,24.5,22.5,
"팔굽혀펴기
(2분)",,男,"70회
이상","69
~ 66","65
~ 62","61
~ 58","57
~ 54","53
~ 50","49
~ 46","45
~ 42","41
~ 38","37
~ 34","33
~ 30","29
~ 27","26
~ 24","23
~ 21","20
이하",
,,女,"35회
이상","34
~ 32","31
~ 29","28
~ 26","25
~ 24","23
~ 22","21
~ 20","19
~ 18","17
~ 16","15
~ 14","13
~ 12","11
~ 10",9 ~ 8,7 ~ 6,"5
이하",
배 점,,,40.0,38.5,37.0,35.5,34.0,32.5,31.0,29.5,28.0,26.5,25.0,23.5,22.0,20.5,19.0,
