지원 전형,,남자,,여자,
,,인문,자연,인문,자연
모집정원,,60명,139명,16명,
"일반우선 전형 /
고교학교장추천 전형",,4배수,6배수,8배수,
특별전형,Ⅰ,,,,
,Ⅱ,미선발,선발,미선발,
